Year	iso3	Total population 	Population aged 15-24 years 	Population aged 65 years or older 	Population aged 14 years or younger 	Population aged 25-64 years 	Total debt service (% of GNI)	GDP deflator (base year varies by country)	GDP (current US$)	GDP (current LCU)	GDP at market prices (constant 2010 US$)	GDP growth (annual %)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2011 international $)	GDP per capita (current US$)	GDP per capita (current LCU)	GDP per capita, PPP (current international $)	GDP per capita, PPP (constant 2011 international $)	GNI (current LCU)	GNI per capita, Atlas method (current US$)	GNI per capita (current LCU)	GNI per capita, PPP (current international $)	DEC alternative conversion factor (LCU per US$)	PPP conversion factor, GDP (LCU per international $)	Mortality rate, infant (per 1,000 live births)	Population growth (annual %)	General government total expenditure (current LCU)
2003	DEU	81569.481	9364.94	14480.073999999999	12056.58	45667.887		93.21592	2510000000000.0	2220000000000.0	3150000000000.0	-0.70991	2380000000000.0	2480000000000.0	3050000000000.0	30359.95215	26898.917610000004	29362.425069999998	36977.34601	2200000000000.0	26230.0	26655.86678	29100.0	0.8859999999999999	0.8969799999999999	4.1	0.05536	1061545000000.0
2003	DJI	756.6560000000003	156.89	24.374000000000002	297.223	278.16900000000004	2.39226	152.36661	622044665.5	111000000000.0	831813180.1	3.19996	72555527000.0	1387604062.0	1652793768.0	822.09705	146103.9098	1833.86382	2184.33974	120000000000.0	890.0	158082.6307	1980.0	177.72099999999998	79.66999	74.6	1.49086	40491000000.0
2003	DMA	70.058	12.489	7.399	19.232	30.938000000000002	4.92548	95.22529	350091222.2	945246300.0	410422425.5	7.68721	992642100.0	508325089.3	605472816.5	4997.1626700000015	13492.3392	7248.304609999999	8642.45078	872302600.0	4810.0	12451.14905	6690.0	2.7	1.85953	13.4	0.36035	289000000.0
2003	DNK	5382.953	592.83	804.319	1008.189	2977.615		84.16799	218000000000.0	1440000000000.0	304000000000.0	0.39009	1710000000000.0	166000000000.0	230000000000.0	40458.770639999995	266530.2433	31268.87647	42738.53097	1430000000000.0	34850.0	264887.5611	31080.0	6.5877	8.657960000000001	4.4	0.27201	770664000000.0
2003	DOM	8967.759	1752.8339999999994	491.86199999999997	3042.655	3680.408	4.488119999999999	56.433569999999996	21277165886.0	618000000000.0	35899095831.0	-0.25336	1100000000000.0	61502328341.0	73256246349.0	2372.62909	68912.30016	6931.27888	8168.84646	578000000000.0	2590.0	64398.430570000004	6480.0	29.0447	10.04822	31.2	1.52219	119521000000.0
2003	DZA	32394.886000000002	7489.053000000001	1535.45	10010.289	13360.094	6.5846300000000015	1758.0068800000001	67863829705.0	5250000000000.0	129000000000.0	7.2	299000000000.0	312000000000.0	371000000000.0	2094.8933	162134.2671	9622.01655	11460.91268	5060000000000.0	1920.0	156269.8353	9270.0	77.395	16.85034	31.3	1.25651	1691354000000.0
2003	ECU	13289.6	2568.246	705.071	4456.316	5559.967	8.388869999999999	77.29238000000002	32432859000.0	32432859000.0	51674512422.0	2.72288	41961262000.0	87118288145.0	104000000000.0	2440.46916	2440.46916	6555.37324	7808.192790000001	30940649900.0	2130.0	2328.1851899999997	6250.0	1.0	0.37229	25.7	1.6505	6587000000.0
2003	EGY	72247.62599999999	15538.55	3671.926	24760.892999999996	28276.257	3.23978	38.47997	82924503943.0	418000000000.0	149000000000.0	3.19345	1080000000000.0	474000000000.0	565000000000.0	1147.78171	5778.7365899999995	6563.171060000002	7817.480890000003	417000000000.0	1290.0	5771.27315	6550.0	5.0347	0.8804799999999999	31.9	1.8706200000000002	147025000000.0
2003	ERI	3928.408	950.4860000000001	79.821	1706.146	1191.955	1.3730200000000001	162.89611000000005	870247703.2	12077210600.0	2114830168.0	-2.65552	7414057000.0	5215746473.0	6212545425.0	221.52681	3074.32695	1327.6997900000001	1581.44099	11943086700.0	200.0	3040.1849	1310.0	13.8779	2.31553	51.2	3.6255599999999997	8093000000.0
2003	ESP	42475.265	5511.574000000001	7070.5369999999975	6103.2869999999975	23789.867000000002		83.84881	907000000000.0	803000000000.0	1270000000000.0	3.18757	958000000000.0	1060000000000.0	1340000000000.0	21495.70741	19045.19676	25337.110819999998	31815.42165	797000000000.0	18060.0	18891.26544	25130.0	0.8859999999999999	0.76015	5.1	1.80845	307526000000.0
2003	EST	1372.89	202.88299999999998	222.47099999999998	219.167	728.3689999999997		67.41939	9833875339.0	8708880000.0	17109231788.0	7.4161600000000005	12917470000.0	17906978657.0	26577489430.0	7174.240790000003	6353.50765	13237.35675	19389.43725	8237243300.0	5710.0	6009.42811	12520.0	0.8856	0.48633999999999994	6.9	-0.62762	3036000000.0
2003	ETH	72432.29	14160.281	2243.667	33641.758	22386.584	1.08378	33.99398	8623691300.0	73995583200.0	14064103274.0	-2.1613599999999997	218000000000.0	37148739297.0	44248360524.0	119.05866	1021.58282	512.87539	610.89275	73428324935.0	110.0	1013.75126	510.0	8.5805	1.99187	78.4	2.8584400000000003	19840000000.0
2003	FIN	5213.8	657.6519999999998	809.959	920.0060000000001	2826.183		90.12094	171000000000.0	152000000000.0	223000000000.0	1.9939799999999999	168000000000.0	151000000000.0	192000000000.0	32816.16088	29075.118539999996	28816.119260000003	36852.44392	151000000000.0	28680.0	28902.85735	28650.0	0.8859999999999999	1.0031700000000001	3.3	0.23845999999999998	73255000000.0
2003	FJI	816.6260000000003	161.35	31.096	262.95599999999996	361.224	0.77577	73.17886999999997	2315935753.0	4390551000.0	2859129727.0	1.0	5999752504.0	4832419846.0	5755959948.0	2835.98092	5376.45262	6268.84914	7048.4652099999985	4392451000.0	2420.0	5378.77927	6270.0	1.8958	0.90856	20.1	0.11456	1324000000.0
2003	FRA	60464.857	7755.778	9960.944	11234.885	31513.25		88.91871	1850000000000.0	1640000000000.0	2440000000000.0	0.81953	1840000000000.0	1760000000000.0	2210000000000.0	29691.18158	26306.386880000002	28093.4086	35494.78286	1660000000000.0	26020.0	26635.5545	28440.0	0.8859999999999999	0.9309799999999999	4.0	0.70878	864309000000.0
