Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Cueta	2014	20.177734375	20.833534578193163	21.5049960448	21.930371005566602
Cueta	2015	20.0888671875	20.291737102367605	20.30099920896	20.09651855027833
Cueta	2016	19.54443359375	19.45210798582866	19.260199841792	19.054825927513917
Extremadura	2003	350.0	350.0	350.0	350.0
Extremadura	2004	350.0	350.0	350.0	350.0
Extremadura	2005	347.0	346.1	345.2	344.3
Extremadura	2006	337.0	333.685	330.64	327.865
Extremadura	2007	333.0	330.63975	329.328	328.94325
Extremadura	2008	313.0	306.1739125	300.2656	294.7971625
Extremadura	2009	283.0	271.610869375	262.45312	255.089858125
Extremadura	2010	256.5	244.56380428125	236.490624	231.25449290625
Extremadura	2011	235.25	224.6973314984375	218.4981248	214.8627246453125
Extremadura	2012	205.125	192.39406602445314	183.69962496	176.9931362322656
Extremadura	2013	183.5625	172.6379231085586	166.339924992	162.74965681161328
Extremadura	2014	170.28125	162.4732730879955	158.8679849984	157.28748284058065
Extremadura	2015	156.140625	149.1656455807984	145.37359699968	142.76437414202903
Extremadura	2016	144.5703125	138.65797595327945	135.474719399936	133.48821870710145
Galicia	2003	894.0	894.0	894.0	894.0
Galicia	2004	894.0	894.0	894.0	894.0
Galicia	2005	884.5	881.65	878.8	875.95
Galicia	2006	871.25	866.2775	862.16	858.8975
Galicia	2007	861.125	856.347125	853.232	851.394875
Galicia	2008	827.5625	815.82149375	805.8464	796.86974375
Galicia	2009	779.78125	761.3375228125	746.76928	735.2434871875
Galicia	2010	732.390625	711.718132984375	697.353856	687.512174359375
Galicia	2011	685.6953125	664.4513465445312	650.6707712	641.4256087179688
Galicia	2012	639.84765625	618.6579712905859	605.33415424	596.3712804358985
Galicia	2013	618.923828125	605.2302899517051	599.466830848	597.918564021795
Galicia	2014	585.4619140625	570.6306014830968	561.4933661696	554.2959282010897
Galicia	2015	537.73095703125	518.2207105190839	504.29867323392	493.2147964100545
Galicia	2016	500.365478515625	482.32724868167935	471.259734646784	464.51073982050275
Illes Balears	2003	36758.0	36758.0	36758.0	36758.0
Illes Balears	2004	36758.0	36758.0	36758.0	36758.0
Illes Balears	2005	36719.5	36707.95	36696.4	36684.85
Illes Balears	2006	36361.25	36249.7325	36141.68	36037.0925
Illes Balears	2007	35666.625	35419.206375	35205.936	35025.254625
Illes Balears	2008	34437.3125	33981.92223125	33607.5872	33298.86273125
Illes Balears	2009	31813.15625	30866.5227809375	30072.71744	29394.4931365625
Illes Balears	2010	29053.078125	27893.732973328126	27048.943488	26448.074656828125
Illes Balears	2011	25927.5390625	24584.106540664845	23651.3886976	22984.303732841407
Illes Balears	2012	22858.76953125	21467.937289232694	20562.27773952	19949.71518664207
Illes Balears	2013	22881.884765625	22402.028051231442	22436.455547904	22757.235759332103
Illes Balears	2014	21675.4423828125	21145.559817931004	20862.4911095808	20583.411787966605
Illes Balears	2015	19848.22119140625	19114.59593627585	18589.29822191616	18149.12058939833
Illes Balears	2016	17629.110595703125	16706.60857769655	16045.859644383232	15546.956029469917
La Rioja	2003	117.0	117.0	117.0	117.0
La Rioja	2004	117.0	117.0	117.0	117.0
La Rioja	2005	115.0	114.4	113.8	113.2
La Rioja	2006	125.0	127.79	130.76	133.91
La Rioja	2007	136.5	140.9265	144.552	147.2955
La Rioja	2008	142.25	145.524275	147.3104	147.964775
La Rioja	2009	137.125	136.73349625	135.06208	132.79823875
La Rioja	2010	132.5625	131.0567236875	129.412416	128.2399119375
La Rioja	2011	122.28125	118.669853290625	115.4824832	112.811995596875
La Rioja	2012	102.640625	95.48444865171875	89.49649664	84.49059977984375
La Rioja	2013	82.8203125	74.36955702810155	68.299299328	64.0745299889922
La Rioja	2014	69.91015625	63.079344959835545	59.2598598656	57.35372649944961
La Rioja	2015	55.955078125	49.37777073594244	45.451971973119996	42.76768632497248
La Rioja	2016	46.9775390625	41.982219757579855	39.490394394624	38.23838431624863
Melilla	2003	310.0	310.0	310.0	310.0
Melilla	2004	310.0	310.0	310.0	310.0
Melilla	2005	295.5	291.15	286.8	282.45
Melilla	2006	288.75	285.2025	282.96	282.0225
Melilla	2007	270.875	264.270875	258.992	254.451125
Melilla	2008	243.9375	233.54480625	225.3984	218.87255625
